Component,Components,Number of AMIs,Number of Services,AMIs Model Creation (ms),AMIs Evaluation (ms),Services Model Creation (ms),Services Evaluation (ms),Combination Model Creation (ms),Combination Evaluation (ms),Total (ms)
compo_1,3,1,1,6,10,1,3,1,2,23
compo_1,3,1,2,0,1,0,3,0,0,4
compo_1,3,1,3,0,1,1,2,1,0,5
compo_1,3,1,4,0,1,0,5,0,0,6
compo_1,3,1,5,0,1,1,3,1,0,6
compo_1,3,2,1,0,1,0,2,0,0,3
compo_1,3,2,2,0,1,0,3,0,0,4
compo_1,3,2,3,0,1,1,4,0,0,6
compo_1,3,2,4,0,1,1,3,0,0,5
compo_1,3,2,5,0,1,0,4,0,0,5
compo_1,3,3,1,0,2,0,3,0,0,5
compo_1,3,3,2,1,1,0,3,0,0,5
compo_1,3,3,3,0,2,0,3,0,0,5
compo_1,3,3,4,0,2,0,3,0,0,5
compo_1,3,3,5,0,1,1,4,0,2,8
compo_1,3,4,1,0,2,0,2,0,0,4
compo_1,3,4,2,0,1,0,3,0,0,4
compo_1,3,4,3,1,1,0,2,1,0,5
compo_1,3,4,4,0,1,0,2,0,0,3
compo_1,3,4,5,0,1,0,3,0,0,4
compo_1,3,5,1,1,1,0,2,0,0,4
compo_1,3,5,2,0,1,0,3,0,1,5
compo_1,3,5,3,0,2,0,3,0,1,6
compo_1,3,5,4,0,1,0,3,0,0,4
compo_1,3,5,5,0,5,0,3,0,0,8
compo_1,3,1,1,0,1,0,3,0,0,4
compo_2,3,1,1,0,2,0,2,0,0,4
compo_1,3,1,2,0,2,0,2,0,0,4
compo_2,3,1,2,0,1,0,1,0,0,2
compo_1,3,1,3,0,1,1,3,0,0,5
compo_2,3,1,3,0,2,0,3,0,0,5
compo_1,3,1,4,0,0,0,5,0,0,5
compo_2,3,1,4,0,0,1,1,0,0,2
compo_1,3,1,5,0,1,0,2,0,0,3
compo_2,3,1,5,0,1,0,1,0,0,2
compo_1,3,2,1,0,1,0,1,0,0,2
compo_2,3,2,1,0,1,0,1,0,0,2
compo_1,3,2,2,0,1,0,1,0,0,2
compo_2,3,2,2,0,0,0,1,0,0,1
compo_1,3,2,3,0,1,0,1,0,0,2
compo_2,3,2,3,0,1,0,1,0,0,2
compo_1,3,2,4,0,1,0,42,0,0,43
compo_2,3,2,4,0,0,0,2,0,0,2
compo_1,3,2,5,0,1,0,1,0,0,2
compo_2,3,2,5,0,0,0,2,0,0,2
compo_1,3,3,1,0,0,0,1,0,0,1
compo_2,3,3,1,0,1,0,1,0,0,2
compo_1,3,3,2,0,1,0,1,0,0,2
compo_2,3,3,2,0,1,0,1,0,0,2
compo_1,3,3,3,0,0,0,1,0,0,1
compo_2,3,3,3,0,1,0,1,0,0,2
compo_1,3,3,4,0,1,0,1,0,0,2
compo_2,3,3,4,0,0,0,2,0,0,2
compo_1,3,3,5,0,1,0,1,0,0,2
compo_2,3,3,5,0,1,0,40,0,0,41
compo_1,3,4,1,0,5,0,7,0,0,12
compo_2,3,4,1,0,1,0,3,0,0,4
